priority,topic,modality,tag,idx,trigger,stem
2,Pain Management & Palliative Care,US,2025-Jun,770,אקו לב מדגים,"בן 50, מתאשפז לאחר אירוע מוחי. בבירור שמבוצע במהלך האשפוז מתגלה כי הוא סובל מיתר לחץ דם לא מאוזן מזה לפחות 10 שנים. אקו לב מדגים היפרטרופיה של המחיצה הבין-חדרית. בבדיקות המעבדה מיו"
2,Pain Management & Palliative Care,Other imaging,Harrison,1111,V/Q scan,אישה בת 28 עם קוצר נשימה והיסטוריה של נטילת גלולות למניעת הריון. D-dimer מוגבר. מה הבדיקה הבאה?
2,Nephrology — AKI & CKD,Other imaging,2022-Jun,265,PET-CT,"בן 60 עם היפרליפידמיה ויתר לחץ דם מתאשפז לבירור כאבים בחזה. במהלך האשפוז מופיעים חום ופלביטיס בסמוך לעירוי פריפרי, ללא ממצאים חריגים אחרים בבדיקה גופנית. במהלך האשפוז המטופל עובר ב"
2,Nephrology — AKI & CKD,Other imaging,Harrison,1015,V/Q scan,חולה בן 45 עם כאב חזה פתאומי וקוצר נשימה. ציון Wells 6.5. CT-PA לא זמין מיידית. מה הטיפול המומלץ?
2,Nephrology — AKI & CKD,Other imaging,2020,1507,PET-CT,"בן 65, מתלונן על חולשה. בבדיקתו חיוור, ללא הגדלת קשריות לימפה, נמוש טחול 5 ס""מ מתחת לקשת הצלעות. במעבדה: המוגלובין 8.6 גר'/ד""ל, שאר הספירה תקינה. בכימיה היפרגלובולינמיה. בפרוטאין א"
2,Hypertension,Other imaging,2021-Jun,179,PET-CT,"בן 52, שמזה 10 ימים סובל ממחלת חום. בבדיקתו נמוש טחול 2 ס""מ מתחת לקשת. במעבדה: המוגלובין 8 גר'/ד""ל עם MCV גבוה, לויקוציטים 2,400 בממ""ק מתוכם 700 נויטרופילים, וטסיות 45,000 בממ""ק. L"
2,Hypertension,Other imaging,2025-Jun,775,PET-CT,"בת 62, בריאה בד""כ, פונה לבירור בשל לימפאדנופטיה צווארית מזה מס' חודשים ללא סימפטומים נוספים. ב-PET-CT קליטה קלושה בקשריות לימפה מעל ומתחת לסרעפת. מאובחנת בסופו של דבר ע""י ביופסיה כ"
2,Hypertension,Other imaging,2020,1498,PET-CT,"בת 60, אסימפטומטית, עם Diffuse Large B Cell Lymphoma וקליטה דיפוזית ב-PET-CT מעל ומתחת לסרעפת וגם בכבד. מה הטיפול בחולה בשלב זה?"
2,Endocrinology & Diabetes,Other imaging,2020,33,PET-CT,מה נכון לגבי בדיקות הדמיה באבחון אנדוקרדיטיס?
2,Endocrinology & Diabetes,US,Harrison,1061,אקו מראה,חולה עם חום ונשפה חדשה. אקו מראה וגטציה על מסתם מיטרלי. תרבית דם חיובית ל-Streptococcus viridans. כמה קריטריונים עיקריים יש לפי Duke criteria?
2,GI & Hepatology,Other imaging,Harrison,1290,PET-CT,מהי הבדיקה הראשונה בחשד לcarcinoma of unknown primary (CUP)?
2,Heart Failure,US,Harrison,1005,אקו מראה,"גבר בן 72 עם פרפור פרוזדות כרוני, יתר לחץ דם וסוכרת. מגיע למיון עם קוצר נשימה. דופק 150/דקה לא סדיר, לחץ דם 140/85. אקו מראה LVEF 40%. CHA2DS2-VASc = 4. איזה טיפול מומלץ?"
2,Hematology & Coagulation,Other imaging,2020,77,PET-CT,"בת 66 מתלוננת על חולשה וגרד. במעבדה: ALT, AST, ALP, GGT, Bilirubin 0.5, CRP, שקיעת דם ורמת IgG תקינים. מה נכון לגבי אבחון מחלתה?"
2,Required Articles — Key Takeaways,Other imaging,2021-Jun,198,מיפוי עצמות,"בת 67, שבבדיקות מעבדה נמצאו היפרגלובולינמיה, המוגלובין 14 גר'/ד״ל ספירה לבנה וטסיות תקינים. סידן ותפקודי כליה תקינים, ובאלקטרופורזה של חלבוני הנסיוב מקטע מונוקלונלי מסוג IgG (0.7 ג"
2,Required Articles — Key Takeaways,Other imaging,2024-Oct,620,גסטרוסקופיה מדגימה,"בת 35, מתלוננת על כאבים ברום הבטן מזה כחצי שנה, בדיקת נשיפה ל-Helicobacter pylori שלילי. שוללת נטילת NSAIDs. גסטרוסקופיה מדגימה כיב בחלק השלישי של התריסריון. מה הכי נכון לגבי המשך "
2,Toxicology — Key Syndromes,Other imaging,2022-Jun,346,מיפוי עצמות,"בן 30 עם כאב בעכוז המוחמר בלילה ומעירו משינה. בבוקר נוקשות הגב כשעה, כשבמאמץ יש הקלה ניכרת. איזו בדיקה תהיה אבחנתית בסבירות גבוהה ביותר?"
